Tid;Vannstand(m)
2016-12-29 07:00;     1,413
2016-12-29 08:00;     1,415
2016-12-29 09:00;     1,411
2016-12-29 10:00;     1,417
2016-12-29 11:00;     1,412
2016-12-29 12:00;     1,413
2016-12-29 13:00;     1,411
2016-12-29 14:00;     1,412
2016-12-29 15:00;     1,417
2016-12-29 16:00;     1,418
2016-12-29 17:00;     1,420
2016-12-29 18:00;     1,420
2016-12-29 19:00;     1,420
2016-12-29 20:00;     1,422
2016-12-29 21:00;     1,425
2016-12-29 22:00;     1,427
2016-12-29 23:00;     1,430
2016-12-30 00:00;     1,428
2016-12-30 01:00;     1,430
2016-12-30 02:00;     1,432
2016-12-30 03:00;     1,432
2016-12-30 04:00;     1,437
2016-12-30 05:00;     1,437
2016-12-30 06:00;     1,434
2016-12-30 07:00;     1,446
2016-12-30 08:00;     1,454
2016-12-30 09:00;     1,465
2016-12-30 10:00;     1,486
2016-12-30 11:00;     1,506
2016-12-30 12:00;     1,535
2016-12-30 13:00;     1,573
2016-12-30 14:00;     1,621
2016-12-30 15:00;     1,669
2016-12-30 16:00;     1,715
2016-12-30 17:00;     1,764
2016-12-30 18:00;     1,804
2016-12-30 19:00;     1,835
2016-12-30 20:00;     1,859
2016-12-30 21:00;     1,881
2016-12-30 22:00;     1,895
2016-12-30 23:00;     1,908
2016-12-31 00:00;     1,922
2016-12-31 01:00;     1,922
2016-12-31 02:00;     1,924
2016-12-31 03:00;     1,921
2016-12-31 04:00;     1,920
2016-12-31 05:00;     1,917
2016-12-31 06:00;     1,911
2016-12-31 07:00;     1,900
2016-12-31 08:00;     1,895
2016-12-31 09:00;     1,881
2016-12-31 10:00;     1,872
2016-12-31 11:00;     1,859
2016-12-31 12:00;     1,845
2016-12-31 13:00;     1,831
2016-12-31 14:00;     1,820
2016-12-31 15:00;     1,812
2016-12-31 16:00;     1,797
2016-12-31 17:00;     1,787
2016-12-31 18:00;     1,774
2016-12-31 19:00;     1,764
2016-12-31 20:00;     1,753
2016-12-31 21:00;     1,740
2016-12-31 22:00;     1,732
2016-12-31 23:00;     1,722
2017-01-01 00:00;     1,711
2017-01-01 01:00;     1,702
2017-01-01 02:00;     1,693
2017-01-01 03:00;     1,684
2017-01-01 04:00;     1,676
2017-01-01 05:00;     1,668
2017-01-01 06:00;     1,658
2017-01-01 07:00;     1,651
2017-01-01 08:00;     1,644
2017-01-01 09:00;     1,637
2017-01-01 10:00;     1,631
2017-01-01 11:00;     1,623
2017-01-01 12:00;     1,618
2017-01-01 13:00;     1,613
2017-01-01 14:00;     1,607
2017-01-01 15:00;     1,599
2017-01-01 16:00;     1,592
2017-01-01 17:00;     1,588
2017-01-01 18:00;     1,581
2017-01-01 19:00;     1,574
2017-01-01 20:00;     1,567
2017-01-01 21:00;     1,564
2017-01-01 22:00;     1,558
2017-01-01 23:00;     1,554
2017-01-02 00:00;     1,550
2017-01-02 01:00;     1,546
2017-01-02 02:00;     1,542
2017-01-02 03:00;     1,536
2017-01-02 04:00;     1,533
2017-01-02 05:00;     1,529
2017-01-02 06:00;     1,526
2017-01-02 07:00;     1,523
2017-01-02 08:00;     1,518
2017-01-02 09:00;     1,514
2017-01-02 10:00;     1,510
2017-01-02 11:00;     1,507
2017-01-02 12:00;     1,506
2017-01-02 13:00;     1,500
2017-01-02 14:00;     1,499
2017-01-02 15:00;     1,496
2017-01-02 16:00;     1,493
2017-01-02 17:00;     1,489
2017-01-02 18:00;     1,485
2017-01-02 19:00;     1,484
2017-01-02 20:00;     1,479
2017-01-02 21:00;     1,476
2017-01-02 22:00;     1,474
2017-01-02 23:00;     1,473
2017-01-03 00:00;     1,469
2017-01-03 01:00;     1,468
2017-01-03 02:00;     1,465
2017-01-03 03:00;     1,464
2017-01-03 04:00;     1,462
2017-01-03 05:00;     1,460
2017-01-03 06:00;     1,458
2017-01-03 07:00;     1,453
2017-01-03 08:00;     1,454
2017-01-03 09:00;     1,451
2017-01-03 10:00;     1,449
2017-01-03 11:00;     1,450
2017-01-03 12:00;     1,442
2017-01-03 13:00;     1,441
2017-01-03 14:00;     1,447
